mesh 1,mesh 1,mesh 1,score,mean,std. dev.
x,y,z,,,
1,1,1,fission,0.0,0.0
2,1,1,fission,0.0,0.0
3,1,1,fission,0.0,0.0
4,1,1,fission,0.0,0.0
5,1,1,fission,0.0,0.0
6,1,1,fission,0.0,0.0
7,1,1,fission,0.0,0.0
8,1,1,fission,0.0,0.0
9,1,1,fission,0.0,0.0
10,1,1,fission,0.0,0.0
11,1,1,fission,0.0,0.0
12,1,1,fission,0.0,0.0
13,1,1,fission,0.0,0.0
14,1,1,fission,0.0,0.0
15,1,1,fission,0.0,0.0
16,1,1,fission,0.0,0.0
17,1,1,fission,0.0,0.0
18,1,1,fission,0.0,0.0
19,1,1,fission,0.0,0.0
20,1,1,fission,0.0,0.0
21,1,1,fission,0.0,0.0
22,1,1,fission,0.0,0.0
23,1,1,fission,0.0,0.0
24,1,1,fission,0.0,0.0
25,1,1,fission,0.0,0.0
26,1,1,fission,0.0,0.0
27,1,1,fission,0.0,0.0
28,1,1,fission,0.0,0.0
29,1,1,fission,0.0,0.0
30,1,1,fission,0.0,0.0
31,1,1,fission,0.0,0.0
32,1,1,fission,0.0,0.0
33,1,1,fission,0.0,0.0
34,1,1,fission,0.0,0.0
35,1,1,fission,0.0,0.0
36,1,1,fission,0.0,0.0
37,1,1,fission,0.0,0.0
38,1,1,fission,0.0,0.0
39,1,1,fission,0.0,0.0
40,1,1,fission,0.0,0.0
41,1,1,fission,7.065671574589178e-06,2.367368053556802e-07
42,1,1,fission,2.154006757182544e-05,7.138658068595097e-07
43,1,1,fission,3.340472083669755e-05,8.941803953933469e-07
44,1,1,fission,4.4887107920090005e-05,1.1750421901356944e-06
45,1,1,fission,5.322948636176887e-05,1.4013042779033204e-06
46,1,1,fission,5.862265970401129e-05,1.3216939922616055e-06
47,1,1,fission,6.725673588647496e-05,1.6138842951001896e-06
48,1,1,fission,7.417976508869061e-05,1.799310136373213e-06
49,1,1,fission,7.534243962331691e-05,1.7173028865330731e-06
50,1,1,fission,7.609041301113394e-05,1.723629380133241e-06
51,1,1,fission,7.69510240100336e-05,1.7475794067733149e-06
52,1,1,fission,7.317461677958604e-05,1.5222018565055482e-06
53,1,1,fission,6.995086768536993e-05,1.6278403287647806e-06
54,1,1,fission,6.551619848415542e-05,1.678518006756643e-06
55,1,1,fission,6.077410943322432e-05,1.4441687377082236e-06
56,1,1,fission,5.33829335463593e-05,1.2020125534354111e-06
57,1,1,fission,4.211615861857596e-05,1.0008230429804167e-06
58,1,1,fission,3.3899855690062225e-05,9.613939465963858e-07
59,1,1,fission,2.0218018011226877e-05,5.884761021693224e-07
60,1,1,fission,6.861748933984586e-06,2.8534666521418676e-07
61,1,1,fission,0.0,0.0
62,1,1,fission,0.0,0.0
63,1,1,fission,0.0,0.0
64,1,1,fission,0.0,0.0
65,1,1,fission,0.0,0.0
66,1,1,fission,0.0,0.0
67,1,1,fission,0.0,0.0
68,1,1,fission,0.0,0.0
69,1,1,fission,0.0,0.0
70,1,1,fission,0.0,0.0
71,1,1,fission,0.0,0.0
72,1,1,fission,0.0,0.0
73,1,1,fission,0.0,0.0
74,1,1,fission,0.0,0.0
75,1,1,fission,0.0,0.0
76,1,1,fission,0.0,0.0
77,1,1,fission,0.0,0.0
78,1,1,fission,0.0,0.0
79,1,1,fission,0.0,0.0
80,1,1,fission,0.0,0.0
81,1,1,fission,0.0,0.0
82,1,1,fission,0.0,0.0
83,1,1,fission,0.0,0.0
